id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4956513446658479,NnIaIrWaP,5222044445,我用什么名能通过,我非常无语，这新浪微博是疯了吗？我不停的屏蔽@新浪新闻@新浪娱乐@新浪热点@微博新鲜事新浪微博不停的发，真是够恶心的，这是啥好东西吗？对这个我一丁点也不感兴趣，所以拜托能不要推送这个了吗，微博都是实名制吧这些不停的推上来的东西也实名制了吗？啥破玩儿🤢,,,"新浪新闻,新浪娱乐,新浪热点,微博新鲜事",,1,1,0,2023-10-13 22:45,微博轻享版,"['https://wx1.sinaimg.cn/large/005Hpajjly1hiu0tgtiwdj30zo114gqk.jpg', 'https://wx3.sinaimg.cn/large/005Hpajjly1hiu0tgwyn0j30zo15o44p.jpg', 'https://wx4.sinaimg.cn/large/005Hpajjly1hiu0tgwmplj30zo14ddlr.jpg', 'https://wx2.sinaimg.cn/large/005Hpajjly1hiu0tgvo4aj30zo17ldma.jpg']",,,河北
4956512092424022,NnI8xaaB8,7711340978,我学习的时候不困啊啊啊啊啊,谁能懂我‘屎’一样的吗笑点wby说请我看石家庄15号那天的现场，但是现在临近了官网没票了，然后就在微博上看有人出票没，但是这是实名制所以买了也不一定能进的去，进不去就退货说是，我说那你明天14号进去了看看情况我再买车票结果他给我来句“你很谨慎”哈哈哈哈哈哈我要笑死了…,,,,,0,1,5,2023-10-13 22:40,vivo X60Edge蔡司影像,['https://wx3.sinaimg.cn/large/008pS03oly1hiu0l9pkyzj30u01u0aqa.jpg'],,,河北
4956510586146462,NnI66pMYu,7082773862,会玩君wpgmedia,"黄牛没法卖周杰伦演唱会登热搜：""捡漏票""暗中开售周杰伦巡演上海站首场于10月12日晚间开唱。经历三轮抢票，仍有大量歌迷表示一票难求。据了解，周杰伦上海演唱会采取强实名制购票进场。之后，黄牛确认已无法售卖周杰伦上海演唱会门票，该话题登顶微博热搜。而对于大量黄牛在演唱会前向买方集体退回票款一事，有歌迷向北京商报记者介绍，退票款从10月初便已开始。而对外宣称演唱会无票的黄牛，下架了二手平台的所有链接，却在暗处进行着所谓“捡漏票”的交易，包着二手羽绒服的“外衣”，以接近1万元的价格销售，还有所谓内部人士宣称7500元即可带入内场观演。值得注意的是，12日11时左右，记者通过黄牛与一位自称工作人员的人士取得联系，对方表示，如果要看12日晚上的演出，13时必须到达场馆外，由该“工作人员”带领等待开演，而演唱会的开演时间为19时。该人士还称，“开场后自己找位置坐，空座很多”。",,,,,0,0,1,2023-10-13 22:34,微博网页版,"['https://wx1.sinaimg.cn/large/007JkB26ly1hiu0hh1jgxj30fa0170su.jpg', 'https://wx2.sinaimg.cn/large/007JkB26ly1hiu0hja033j30fa0a7di9.jpg']",,,北京
4956492341972331,NnHCG8h5N,7363472615,贾婧琰jia_1,到底什么时候才可以改这个死微博名字，我现在属于直接实名制上网了,,,,,0,0,0,2023-10-13 21:22,iPhone 14,,,,河南
4956491343986947,NnHB4gJbB,7828145369,涡姒拟蝶,超话小秘书超话小秘书您好，本人没有违规操作，也没有频繁操作，实名制账号，已连续使用多年，去年下半年开始发不了超话，每天超话签到都说最近的行为存在异常，要验证后才能签到。请尽快解决，感谢！🙏🏻@超话社区@超话小秘书@微博管理员,,,"超话社区,超话小秘书,微博管理员",,0,0,0,2023-10-13 21:18,超话小秘书超话,,,,甘肃
4956482586284054,NnHmWqmLI,1828897801,hero墨墨-TVXQ,netjames#netjames#【这里是Mika抽奖频道，又见面啦】【抽3人报销南宁FM门票，最终解释权归我】【参·与·要·求】：1、参加南宁FM的姐妹2、关注NJ微博和本超话3、仅限CPF，会审核4、超话8级及以上5、评论留下对NJ的祝福即可【中·奖·须·知】：中奖姐妹，提供门🎫票，实名制机酒，现场照片（必要时需要录屏看机酒）【缺一不可，缺任何一样只能作废】来找我报销。【开·🏆·时·间】：10月21日O抽奖详情,,,,netjames,23,367,231,2023-10-13 20:43,netjames超话,['https://wx1.sinaimg.cn/large/6d02c409ly1hitwz1hvr3j20n00tajs3.jpg'],,,江苏
4956440542055317,NnGh88CGh,3701555977,8视界新闻新加坡,【周杰伦上海演唱会出招严打黄牛奏效黄牛集体退票】华语乐坛天王周杰伦上海演唱会主办方出招严打黄牛，严格落实实名制，入场必须进行“人脸识别”，黄牛在演唱会前一天集体退票。O网页链接图：周杰伦歌迷会官方微博#8视界新闻网#8worldnews,,,,8视界新闻网 ,0,0,2,2023-10-13 17:56,微博 HTML5 版,['https://wx4.sinaimg.cn/large/dca14309ly8hitsg0x4agj20zk0m10vc.jpg'],,,
4956422326191762,NnFNKpYL8,7163962304,Erin倚檀,微博出新规吧，投放假新闻被投诉判定后多少次永久封号！而且微博也实名制才能发言！,,,,,0,0,0,2023-10-13 16:43,荣耀X40,,,,上海
4956416097125656,NnFDHtTHW,7860510932,BT整形外科医院,"彼此特别美丽邂逅，BT整形外科真实手术案例👍李承浩代表院长全程实施手术👍幽灵手术NO,换手NO👍麻醉科院长常驻👍手术房设置CCTV👍手术实名制认证💯官方微信:btps_official💯官方微博:BT整形外科医院💯中文官网：O网页链接#轮廓##轮廓线条##面部轮廓##轮廓三件套##韩国轮廓##韩国面部轮廓##颧骨##颧骨缩小##颧骨内推##颧骨颧弓##下颌角##下颌骨##方下巴##方脸##长曲线下颌角##下巴##下巴整形##下巴后缩##短下巴##下巴截骨##下巴截骨前移##鼻综合##隆鼻##自体肋软骨鼻综合##异体肋软骨鼻综合##鼻翼##朝天鼻##鼻翼缩小##鼻小柱##鼻尖##鼻梁##塌鼻##矮鼻##驼峰鼻##鹰钩鼻##鼻背##自体肋软骨##异体肋软骨##假体隆鼻##鼻修复##双眼皮##埋线双眼皮##眼综合##双眼皮修复##开眼角##下至##眼睑下至##韩国##医美##韩国医美##韩国整形##BT整形##韩国BT整形##BT整形外科##吸脂##韩国吸脂##腹部吸脂##大腿吸脂##面部吸脂##双下巴##抗衰老##自体脂肪填充##面部提升##小拉皮##大拉皮##迷你提升##筋膜提升##好物分享##美妆##漫画##动漫##二次元##变美##韩式半永久##韩国留学##韩国明星##韩国签证##韩国旅游##济州岛##瘦脸##瘦脸针##韩国电影##皮肤管理##护肤##九价##巴掌脸##神仙颜值##时尚美妆##明星时尚##时尚穿搭##肖战##防弹少年团##BTS##seventeen##小十七##blackpink##jennie##LISA##张元英##iphone15##iphone15promax##爱宝##福宝#整形韩国韩国整形医美医美整形与健康",,,,"轮廓,轮廓线条,面部轮廓,轮廓三件套,韩国轮廓,韩国面部轮廓,颧骨,颧骨缩小,颧骨内推,颧骨颧弓,下颌角,下颌骨,方下巴,方脸,长曲线下颌角,下巴,下巴整形,下巴后缩,短下巴,下巴截骨,下巴截骨前移,鼻综合,隆鼻,自体肋软骨鼻综合,异体肋软骨鼻综合,鼻翼,朝天鼻,鼻翼缩小,鼻小柱,鼻尖,鼻梁,塌鼻,矮鼻,驼峰鼻,鹰钩鼻,鼻背,自体肋软骨,异体肋软骨,假体隆鼻,鼻修复,双眼皮,埋线双眼皮,眼综合,双眼皮修复,开眼角,下至,眼睑下至,韩国,医美,韩国医美,韩国整形,BT整形,韩国BT整形,BT整形外科,吸脂,韩国吸脂,腹部吸脂,大腿吸脂,面部吸脂,双下巴,抗衰老,自体脂肪填充,面部提升,小拉皮,大拉皮,迷你提升,筋膜提升,好物分享,美妆,漫画,动漫,二次元,变美,韩式半永久,韩国留学,韩国明星,韩国签证,韩国旅游,济州岛,瘦脸,瘦脸针,韩国电影,皮肤管理,护肤,九价,巴掌脸,神仙颜值,时尚美妆,明星时尚,时尚穿搭,肖战,防弹少年团,BTS,seventeen,小十七,blackpink,jennie,LISA,张元英,iphone15,iphone15 pro max,爱宝,福宝",0,1,0,2023-10-13 16:19,微博网页版,"['https://wx3.sinaimg.cn/large/008zXTYogy1hitpmg41u4j30w20w27ih.jpg', 'https://wx4.sinaimg.cn/large/008zXTYogy1hitpmg6h6ej30w20w27id.jpg', 'https://wx3.sinaimg.cn/large/008zXTYogy1hitpmg51daj30w20w27hi.jpg']",,,韩国
4956383214829741,NnEMFkgr3,7801367237,小甜栗子er,造谣不敢带名字，真没种的废物，不喜欢就屏蔽拉黑，垃圾东西带名字试试，一告一个准，真是阴沟的东西，上不得台面的废物，微博你能不能实名制造谣真是张嘴就来啊，管管垃圾,,,,,0,0,0,2023-10-13 14:08,OPPO K9 Pro 5G,,,,广东
