id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4945296767059540,Nj0nitCvy,2665347341,穎兒穎兒穎兒穎兒穎兒穎兒,#颖儿的时光机#没想到，这个微博已经陪了我这么多年了。应该是读书开始就有了。后来经历了实名制，还有不少微博的改革。,,,,颖儿的时光机,0,0,1,2023-09-12 23:54,HUAWEI P30,['https://wx1.sinaimg.cn/large/9eddf90dgy1hhu8kpedf2j20u009nmxx.jpg'],,,广东
4945271086388672,NiZHSqNZ6,7155040795,Pipppppp,我实名制支持这个功能作为常年被sj的人我真的觉得这个功能对我很重要求求了微博这个功能就像vx朋友圈可编辑一样非常需要了咱就是说,,,,,0,0,1,2023-09-12 22:12,,['https://wx2.sinaimg.cn/large/007OdOXNgy1hhu5md8w36j30wi1afn3d.jpg'],,,澳大利亚
4945265468640117,NiZyOAfGJ,1314608344,新闻晨报,【“实名”还是“强实名”？#抢票难到底从何而来#？】9月12日，当记者向几位资深的演唱会行业从业人员发去“求教”的消息时，他们不约而同地误会这是一条“求票信息”，进而回复：周杰伦上海演唱会？真的找不到路子。#大麦抢不到##周杰伦上海演唱会抢票#当天18点，即将于10月登场的4场周杰伦上海演唱会正式开票，大麦、猫眼、票星球三大平台总共放票11.4044万张。但在不到一分钟的时间里，大麦上的70520张门票全部售罄，其它平台也立刻挂出了“无票”的标志。大量追问“到底是谁抢到票”的网友，将#周杰伦上海演唱会抢票#的话题冲上了微博热搜排行榜第一名。在此之前，这四场演唱会以“强实名”的标签引发关注。开票前一天，三家票务平台已经发布购票须知和公告，提示演出为购票实名制入场，不得转赠及转售，但可以进行退票处理。这也是记者真正想要“求教”的内容：什么才是“强实名”？它和一般的“实名制”有何不同？对上海观众而言，看演唱会有何注意事项？“强实名”被认为是当前演票务市场打击“黄牛”的重要手段，那么，为什么演唱会门票“加价销售”的消息还是满天飞？记者注意到，在本次周杰伦上海演唱会之前，不少“黄牛”打出了“代拍”服务，称会使用人海战术、机器外挂等手段进行“代拍”，平均每张门票加价一千元甚至是几千元不等，“命中率很高，不中退款！”但从9月12日最终开票的结果来看，“代拍”并非百试百灵。多位网友在社交平台透露，他们为了保险花了三四千元找“代拍”，结果依然“全军覆没”。歌迷小常是抢到票的幸运儿，他原本也花了2000元找“代拍”，“结果‘代拍’没拍到，我自己随便试了一下，居然命中了”。对此，一位多年从事演唱会票务工作的业内人士告诉记者，迷信“代拍”大可不必。“像周杰伦这种级别的热门演唱会，‘代拍’也未必有保障。我的朋友圈里有好几个‘代拍’都是一张未中。‘强实名’之后，很多演唱会还会多次放票，关注不同平台，抓准二次放票的机会，希望还是很大的”。不久前刚刚在上海观看了李宗盛演唱会的歌迷邱小姐也透露，她和朋友们仔细研究了演唱会海报上的主办方信息，分析比较了不同购票平台，最终在一个官方提供的小众购票平台成功购票，“整体还是比较丝滑的”。那么，网友普遍反映的“抢票难”到底从何而来？一方面，当前演唱会的观演人数确有明显增长，周杰伦上海演唱会购票页面显示，标注“想看”的网友接近500万，很多歌迷做了从外地赶赴上海的计划；另一方面，“担心抢不到”的情绪也在极大程度地助推了抢票狂潮。“很多人会发动亲朋好友、代拍等共同参与抢票，尤其那些没有采取‘强实名’的演唱会，你抢到了也可以转让出去，不怕没人要。这也从侧面验证了‘强实名’的意义。”O周到上海,,,,"抢票难到底从何而来,大麦 抢不到,周杰伦上海演唱会抢票",4,9,25,2023-09-12 21:50,微博网页版,"['https://wx1.sinaimg.cn/large/001qXXGogy1hhu505o57vj60ku0itae302.jpg', 'https://wx4.sinaimg.cn/large/001qXXGogy1hhu505t6w8j60ku0eo41o02.jpg', 'https://wx3.sinaimg.cn/large/001qXXGogy1hhu505oemoj60ku0gd41a02.jpg', 'https://wx4.sinaimg.cn/large/001qXXGogy1hhu505q4wuj60ku13p78q02.jpg']",,,
4945256372768868,NiZk9bCja,6283597308,草莓泡芙酒,#周杰伦上海演唱会#大家别被骗子骗了我在微博问了好几个人结果全是骗子同样的话术1.问你要哪种（总之你问哪种哪种都有然后原票价+几百块钱）你会惊讶加这么少的钱其实人家是想骗你原票价的钱2.让你发个人信息（我胡编乱造一个给他们）他们果然继续让我接收验证短信截图给他们3.截图以后他们就告诉你汇款银行账号然后让你发汇款截图#周杰伦上海演唱会##周杰伦上海演唱会强实名##周杰伦上海演唱会强实名##演唱会实名制与强实名制的区别#我很喜欢周杰伦特别着急想买票也许骗子就摸准了这种心里你们可以翻翻骗子的微博除了最近卖票的微博最近的微博也是2013.2012甚至更早因为那是骗子账号骗子才不会长期经营一个微博账号,,,,"周杰伦上海演唱会,周杰伦上海演唱会强实名,演唱会实名制与强实名制的区别",0,0,0,2023-09-12 21:14,OPPO Reno5 Pro 5G,['https://wx2.sinaimg.cn/large/006RfkHGly1hhu3rsme3bj30mw0mw0vb.jpg'],,,江苏
4945250210809156,NiZad3ouU,3272793387,雷波公安,#演唱会实名制与强实名制的区别#【贩卖黄牛票是否违法？】演唱会买不到票时不少人会想到找“黄牛”，但这种歪脑筋还是不动为好！不仅倒卖黄牛票行为违法，还容易滋生诈骗、纠纷等，让我们一起来抵制“黄牛”！via.央视网法治四川的微博视频L法治四川的微博视频,,,,演唱会实名制与强实名制的区别,0,0,0,2023-09-12 20:49,微博视频号,,"http://f.video.weibocdn.com/o0/wRgGMkShlx084L4NjIDS01041200oWLD0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086036&ssig=Hp7EqU0ltk&KID=unistore,video",,
4945246472900142,NiZ4bcasu,2638479260,平安巴中,#演唱会实名制与强实名制的区别#【贩卖黄牛票是否违法？】演唱会买不到票时不少人会想到找“黄牛”，但这种歪脑筋还是不动为好！不仅倒卖黄牛票行为违法，还容易滋生诈骗、纠纷等，让我们一起来抵制“黄牛”！via.央视网法治四川的微博视频L法治四川的微博视频,,,,演唱会实名制与强实名制的区别,0,15,5,2023-09-12 20:35,微博视频号,,"http://f.video.weibocdn.com/o0/wRgGMkShlx084L4NjIDS01041200oWLD0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086036&ssig=Hp7EqU0ltk&KID=unistore,video",,
4945236662681777,NiYOmbfEt,1925878362,SMGNEWS,【周杰伦上海演唱会采取“强实名”代拍价格“辣手”】#周杰伦上海演唱会#周杰伦2023“嘉年华”世界巡回演唱会上海站将于10月12日至15日举行，9月12日18时开启门票预售。演唱会官方票务平台为大麦、猫眼以及票星球。值得注意的是，开票前一天，三家票务平台发布公告，宣布本场演出为购票实名制入场，门票可退，但不得转赠及转售，演出开始前48小时停止退票。#周杰伦上海演唱会强实名#随即登上微博热搜。早在九月初，周杰伦上海演唱会还未开票，各平台的“代拍”和“求代拍”就已大量涌现，有的“代拍”要价上千元。LSMGNEWS的微博视频,,,,"周杰伦上海演唱会,周杰伦上海演唱会强实名",0,0,3,2023-09-12 19:56,微博视频号,,"http://f.video.weibocdn.com/o0/6xaZSpWnlx088y7IMupO010412004EJn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086036&ssig=AkNwuYM8ym&KID=unistore,video",,
4945232736031558,NiYI1pj5c,6344662785,看看新闻正能量,【周杰伦上海演唱会采取“强实名”代拍价格“辣手”】周杰伦2023“嘉年华”世界巡回演唱会上海站将于10月12日至15日举行，9月12日18时开启门票预售。演唱会官方票务平台为大麦、猫眼以及票星球。值得注意的是，开票前一天，三家票务平台发布公告，宣布本场演出为购票实名制入场，门票可退，但不得转赠及转售，演出开始前48小时停止退票。#周杰伦上海演唱会强实名#随即登上微博热搜。早在九月初，周杰伦上海演唱会还未开票，各平台的“代拍”和“求代拍”就已大量涌现，有的“代拍”要价上千元。L看看新闻正能量的微博视频,,,,周杰伦上海演唱会强实名,0,0,2,2023-09-12 19:40,微博视频号,,"http://f.video.weibocdn.com/o0/C5uthqo2lx088y7qhn6g010412004EQb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086036&ssig=Yw8HG0rygR&KID=unistore,video",,
4951420551827929,NlzGn7FwJ,1727918390,Tennis欧阳文升,#上海劳力士大师赛#中秋好礼：大师赛最全观赛便民服务信息来了！10月2-15日，万众瞩目的2023上海劳力士大师赛就将正式迎来超级开场！这场亚洲网球的旗舰赛事将在久事体育场馆旗忠网球中心为广大球迷带来为期两周的巅峰盛宴。此刻，是不是已经迫不及待，只等一睹网坛大师的风采！如何做好万全准备，收获丝滑观赛体验？看这一篇就够了！🔵我什么时候能入场❓观赛前超激动，但千万不要记错时间！一定要提前查阅你的电子票，看好自己的观赛日期和具体场次。赛事全程14天，每天赛场开放的时间不完全一样哦！10月2日开赛首日，赛场大门将于早上10:00开启；而10月3-12日期间，开放时间改为11:00；10月13-15日则为12:30。另外注意，10月2-3日的资格赛以及10月13-15日最后三天不分日夜场，其余时候的中央场馆赛票分为日场和夜场。不管你购买的是哪个时段的票，都能在当天赛场大门开放后入内。不过，中央场馆的检票时间是有严格区分的，日场票观众可以在进入大门后直奔中央场馆检票，但夜场票观众必须等到17:30以后才可入馆。如果你观赛那天发现已经到了夜场检票时间，但中央场馆的日场比赛还未结束，就请根据现场指引耐心等候，不要着急哦！🔵出行前查阅天气预报出门前提前看好天气预报，如果遇到下雨天，买了中央场馆票的观众别担心，中央场馆会在关闭顶棚后继续比赛，而其他室外场地的比赛将有所调整。每天的3号馆票和外场票将于当天早上8:30在官方票务渠道“久事体育APP”及“久事体育APP”小程序上开售。但如果遇到下雨天，可能停止售票。尤其注意，外场票不退不换，请大家购买时务必看清购票页面上的“须知”条款，以免产生误解。🔵记得带好以下装备收拾包包准备出发！先检查一下随身装备：本届赛事门票实行实名制认证，请一定要带好购票时使用的本人有效身份证件（大陆身份证、港澳台通行证、护照等）！赛场昼夜温差大，请记得带好防晒或保暖外套。下雨天带好雨具，但长柄伞不允许带哦！爱摄影的观众也请注意，三脚架、单脚架等都不可以带入，只可以携带镜头焦距在200毫米及以下的手持设备。最后提醒大家，注意查阅久事体育APP购票页面的“须知-观演提示”，有一些东西是不能带进赛场的哦！🔵我要怎么去赛场❓比赛场地旗忠网球中心位于上海市闵行区元江路5500号，所有观众请从2号门进入。我们推荐大家首选公共交通绿色出行！我们在地铁一号线莘庄站南广场枢纽出口处设置了往返赛场的短驳车乘坐点，并经停地铁五号线颛桥站。短驳车发车频次为10分钟一班，且人满即发车，是你出门观赛的省心之选。如果需要自驾前往，请听从现场工作人员指引，前往周边停车区域有序停车。🔵到达赛场，如何顺利入场❓拿着本人的有效身份证件（大陆身份证、港澳台通行证、护照等）走观众入口相应通道的闸机，过安检、刷证件后入场。进入到赛场区域后，持中央场馆票的观众注意啦：今年中央场馆设有2个检票入口，分别在8号玻璃门前和16号玻璃门前，大家可以根据“就近原则”，在离自己观赛区域更近的入口处有序排队检票后进场。场馆可以反复进出，请放心观赛。🔵观赛需要注意哪些礼仪❓为了提升大家的观赛体验，也请注意以下几点观赛礼仪哦：第一，网球比赛中在单数局结束后双方球员会换边并进行短暂的休息，而第1局结束后球员只换边不坐下休息。观众只有在换边休息的局间才能入场，反之请在入口处耐心等候入场。第二，局间休息时请尽快入座，如果在比赛开始时还没走到自己的座位，也请就近坐下，不要停留在过道或者栏杆旁观赛。第三，比赛进行中请保持安静，请将手机调至静音，也不要大声喧哗或随意走动。第四，拍照时请勿使用闪光灯。第五，鼓掌加油时也请注意，只有在裁判给出判罚后，才能开始加油叫好，请尽量避免在比赛过程中发出噪声，更不要刻意干扰球员。第六，每一位参加比赛的选手都是值得尊敬的，赛后在为胜利者庆祝鼓掌的同时，请不要忘记对失利的球员同样致以敬意与掌声。🔵赛事现场可能发生赛程变化根据赛事规则，当比赛日遭遇下雨天，中央场馆的赛事将暂停，待顶棚关闭后继续进行。而其他室外场地比赛将有所调整，请大家及时关注现场大屏、“上海劳力士大师赛”官方微博等渠道发布的官方信息，注意查收手机短信提示，或至现场咨询亭询问，获取最新赛事安排。没有带雨具的观众欢迎移步现场品牌天地、美食天地等室内场所参与现场活动，等待进一步的赛事信息。🔵度过了愉快的一天，散场该怎么走❓返程时，依然可以乘坐从赛场去往地铁一号线莘庄站的短驳车，同样经停地铁五号线颛桥站。另外我们还会提供从赛场到上海体育馆的返程专线，确保大家安全返回。散场时人流量较大，还请各位球迷跟随现场指引，安全有序离开。2023上海劳力士大师赛开赛在即，让我们共同期待！@上海劳力士大师赛,,,上海劳力士大师赛,上海劳力士大师赛,25,17,73,2023-09-29 21:28,,"['https://wx1.sinaimg.cn/large/66fdf136gy1hidruw0pfij20u01cd44s.jpg', 'https://wx1.sinaimg.cn/large/66fdf136gy1hidruwn5i2j20u010edkg.jpg', 'https://wx4.sinaimg.cn/large/66fdf136gy1hidrux800xj20u0180jwo.jpg', 'https://wx1.sinaimg.cn/large/66fdf136gy1hidruv7pvzj20p00go0x1.jpg', 'https://wx2.sinaimg.cn/large/66fdf136gy1hidruxzawaj20u01f245j.jpg', 'https://wx3.sinaimg.cn/large/66fdf136gy1hidruytk3cj20u00k00z6.jpg', 'https://wx3.sinaimg.cn/large/66fdf136gy1hidruzdzgpj20p00gowj9.jpg', 'https://wx1.sinaimg.cn/large/66fdf136gy1hidruzucf9j20u00zf0w4.jpg', 'https://wx4.sinaimg.cn/large/66fdf136gy1hidrv0a126j20p00go41k.jpg']",,,浙江
4951269913660440,NlvLpfmfm,2637004460,西铁汉中车务段,【中国编号最大的站台西安北站的34站台】西安北站的34站台是中国编号最大的站台如果你需要在这里乘车，从北广场进站最为快捷，通过实名制验证、安检后，乘扶梯到二楼高架候车室即可见到34站台检票口中国铁路的微博视频L中国铁路的微博视频,,,,,1,0,1,2023-09-29 11:30,微博视频号,,"http://f.video.weibocdn.com/o0/gApLJJuKlx07XzWZVOGY01041200AvL20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1701086051&ssig=CioQV%2FBSXt&KID=unistore,video",,
